,ymd,stock_code,pb
782,2026-01-05,002320,3.21
783,2026-01-05,002321,5.39
784,2026-01-05,002322,1.83
785,2026-01-05,002323,6.41
786,2026-01-05,002324,2.47
787,2026-01-05,002326,2.88
788,2026-01-05,002327,1.98
789,2026-01-05,002328,1.42
790,2026-01-05,002329,1.67
791,2026-01-05,002330,1.18
792,2026-01-05,002331,2.1
793,2026-01-05,002332,1.65
794,2026-01-05,002333,2.02
795,2026-01-05,002334,2.33
796,2026-01-05,002335,4.02
797,2026-01-05,002337,2.48
798,2026-01-05,002338,7.31
799,2026-01-05,002339,2.14
800,2026-01-05,002340,1.77
801,2026-01-05,002342,1.23
802,2026-01-05,002343,3.33
803,2026-01-05,002344,0.68
804,2026-01-05,002345,1.36
805,2026-01-05,002346,1.9
806,2026-01-05,002347,3.59
807,2026-01-05,002348,7.15
808,2026-01-05,002349,2.43
809,2026-01-05,002350,2.06
810,2026-01-05,002351,5.65
811,2026-01-05,002352,2.16
812,2026-01-05,002353,1.89
813,2026-01-05,002354,9.96
814,2026-01-05,002355,3.73
815,2026-01-05,002356,7.37
816,2026-01-05,002357,1.49
817,2026-01-05,002358,1.41
818,2026-01-05,002360,0.94
819,2026-01-05,002361,2.22
820,2026-01-05,002362,5.48
821,2026-01-05,002363,1.39
822,2026-01-05,002364,3.96
823,2026-01-05,002365,1.22
824,2026-01-05,002366,2.19
825,2026-01-05,002367,1.57
826,2026-01-05,002368,3.6
827,2026-01-05,002369,8.39
828,2026-01-05,002370,4.4
829,2026-01-05,002371,7.64
830,2026-01-05,002372,4.04
831,2026-01-05,002373,1.38
832,2026-01-05,002374,2.54
833,2026-01-05,002375,0.67
834,2026-01-05,002376,1.6
835,2026-01-05,002377,5.5
836,2026-01-05,002378,3.76
837,2026-01-05,002379,5.64
838,2026-01-05,002380,2.7
839,2026-01-05,002381,1.29
840,2026-01-05,002382,0.6
841,2026-01-05,002383,3.26
842,2026-01-05,002384,2.89
843,2026-01-05,002385,2.11
844,2026-01-05,002386,0.72
845,2026-01-05,002387,2.59
846,2026-01-05,002389,2.26
847,2026-01-05,002390,1.19
848,2026-01-05,002391,0.74
849,2026-01-05,002392,0.98
850,2026-01-05,002393,0.9
851,2026-01-05,002394,0.63
852,2026-01-05,002395,4.66
853,2026-01-05,002396,1.94
854,2026-01-05,002397,2.32
855,2026-01-05,002398,1.1
856,2026-01-05,002399,1.26
857,2026-01-05,002400,3.36
858,2026-01-05,002401,3.74
859,2026-01-05,002402,3.91
860,2026-01-05,002403,3.57
861,2026-01-05,002404,1.73
862,2026-01-05,002405,2.52
863,2026-01-05,002406,1.31
864,2026-01-05,002407,1.64
865,2026-01-05,002408,1.2
866,2026-01-05,002409,3.89
867,2026-01-05,002410,3.84
868,2026-01-05,002412,1.46
869,2026-01-05,002413,1.8
870,2026-01-05,002414,4.5
871,2026-01-05,002415,3.79
872,2026-01-05,002416,2.85
873,2026-01-05,002418,2.67
